FL	RW	CL	CW	BD	Class
-2.14086	-2.34656	-2.24828	-2.21222	-2.05284	0
-1.94059	-1.95796	-1.96735	-1.98356	-1.93604	0
-1.82615	-1.9191	-1.84092	-1.78031	-1.84844	0
-1.71171	-1.88024	-1.68641	-1.69138	-1.70245	0
-1.6545	-1.84138	-1.65831	-1.70409	-1.70245	0
-1.3684	-1.45278	-1.27905	-1.25947	-1.23526	0
-1.28257	-1.10304	-1.16667	-1.18325	-1.23526	0
-1.13952	-1.41392	-1.06834	-1.01811	-1.06007	0
-1.0823	-1.21962	-1.11048	-1.09433	-1.26446	0
-1.0823	-0.86988	-0.97001	-0.90378	-1.08927	0
-0.96786	-0.7533	-0.67503	-0.6116	-0.91408	0
-0.93925	-0.67558	-0.74526	-0.6243	-0.76808	0
-0.85343	-1.06418	-0.61884	-0.5989	-0.76808	0
-0.79621	-0.98646	-0.68907	-0.58619	-0.91408	0
-0.79621	-0.71444	-0.66098	-0.6243	-0.88488	0
-0.7676	-0.67558	-0.74526	-0.70052	-0.76808	0
-0.71038	-0.83102	-0.5486	-0.52268	-0.88488	0
-0.71038	-0.71444	-0.53456	-0.50997	-0.82648	0
-0.65316	-0.63672	-0.60479	-0.52268	-0.79728	0
-0.4815	-0.63672	-0.40813	-0.39565	-0.56369	0
-0.36706	-0.44242	-0.11315	-0.11617	-0.38849	0
-0.28123	-0.559	-0.02887	-0.00184	-0.0965	0
-0.16679	-0.71444	-0.0991	-0.00184	-0.2425	0
-0.16679	-0.48128	0.04137	0.07438	-0.1841	0
-0.16679	-0.32584	0.05542	0.09978	-0.1257	0
-0.10957	-0.24812	0.02732	0.03627	-0.1257	0
-0.05236	-0.3647	0.12565	0.13789	-0.1257	0
0.03347	-0.05382	0.51896	0.49359	0.13709	0
0.09069	-0.01496	0.26612	0.31574	0.04949	0
0.14791	-0.44242	0.23803	0.32844	0.10789	0
0.14791	0.0239	0.39254	0.5444	0.48748	0
0.17652	0.2182	0.54706	0.67143	0.39988	0
0.20513	-0.01496	0.49087	0.56981	0.25389	0
0.23374	0.10162	0.50492	0.68414	0.34148	0
0.29096	0.29592	0.84204	0.88739	0.25389	0
