1	2	3	4	5	6	7	8	9	C
0.87083	0.28429	1.2517	-0.69082	-1.12445	-0.67013	-0.14543	-0.35205	-0.58508	0
-0.24875	0.59043	0.63468	-0.17006	0.10208	-0.02615	-0.79188	-0.35205	-0.58508	0
-0.71963	0.14958	0.60002	0.19047	0.43776	-0.16415	-0.82701	-0.35205	-0.58508	0
-0.23229	-0.24228	0.69708	-0.31027	-0.05285	0.11184	-0.51784	-0.35205	-0.58508	0
-0.31131	-0.16881	0.64855	-0.41041	0.55396	0.08118	-0.62324	-0.35205	-0.58508	0
-0.79207	-0.75661	0.64161	0.3507	0.41194	0.21917	-0.62324	-0.35205	2.08327	0
-0.30802	-0.13207	0.63468	-0.61071	0.56687	0.12718	-0.55297	-0.35205	-0.58508	0
-0.26521	-0.31576	0.64161	-0.79097	0.76053	0.11184	-0.50378	-0.35205	-0.58508	0
0.26823	0.77412	0.62081	-0.15003	-0.73712	0.09651	-0.46162	-0.35205	-0.58508	0
-0.26851	-0.49945	0.63468	-0.17006	0.43776	0.11184	-0.39136	-0.35205	0.54384	0
-0.8744	-0.84233	0.53762	0.23052	0.70889	0.26517	-0.60918	-0.35205	1.87801	0
-0.24216	-0.74436	0.67628	-0.35032	0.46358	0.15784	-0.27893	-0.35205	-0.58508	0
-0.81512	-0.6464	0.51682	-0.08994	0.81217	0.29584	-0.63729	-0.35205	1.87801	0
-0.29156	-0.67089	0.60695	-0.35032	0.7218	0.06585	-0.40541	-0.35205	1.15961	0
-0.24216	-0.97704	0.62775	-0.27021	0.82508	0.12718	-0.32109	-0.35205	-0.58508	0
-0.24875	-0.73212	0.59308	-0.43044	0.76053	0.12718	-0.39838	-0.35205	-0.58508	0
-0.17301	-0.89131	0.68321	-0.57065	0.59269	0.17318	-0.18056	-0.35205	-0.58508	0
1.18365	1.16599	0.808	-1.11144	-1.6667	-0.53214	0.13564	-0.35205	-0.58508	0
0.24518	0.60268	0.72481	-0.53059	-0.68548	-0.67013	-0.04705	-0.35205	-0.58508	0
-0.33436	-0.47496	0.59308	0.4909	0.10208	0.06585	-0.36325	-0.35205	0.13332	0
-0.28497	-0.71987	0.60002	0.09032	0.1279	0.06585	-0.30704	-0.35205	1.36486	0
0.42629	1.66807	0.73867	-2.31319	-0.81459	-0.71613	0.03024	-0.35205	-0.58508	0
-0.33107	-0.76886	0.64855	-0.31027	0.17954	0.14251	-0.18056	-0.35205	-0.58508	0
-0.28168	-0.73212	0.61388	-0.19009	0.47649	0.18851	-0.25785	-0.35205	-0.58508	0
-0.38376	-0.03411	0.56535	-0.59068	0.25701	0.00451	-0.37028	-0.35205	-0.58508	0
-0.23887	-0.52394	0.59308	-0.4705	0.45067	0.23451	-0.30001	-0.35205	-0.58508	0
-0.14338	-0.24228	0.55149	-0.06992	-0.01412	0.14251	-0.37028	-0.35205	-0.58508	0
-0.38047	-0.65864	0.55149	-0.23015	0.50231	0.09651	-0.37028	-0.35205	-0.58508	0
-0.2257	-1.03826	0.57922	-0.02986	0.64433	0.11184	-0.29298	-0.35205	-0.58508	0
-0.17301	-0.40148	0.55842	-0.3303	0.26992	0.15784	-0.32812	-0.35205	-0.58508	0
-0.2257	-0.92805	0.60695	-0.29024	0.55396	0.17318	-0.18759	-0.35205	0.85172	0
-0.29485	-0.69538	0.56535	-0.61071	0.79926	0.09651	-0.28596	-0.35205	-0.58508	0
-0.20265	-0.68313	0.55149	-0.43044	0.41194	0.17318	-0.27893	-0.17104	1.67275	0
-0.27509	-1.02602	0.54455	-0.13	0.95419	0.15784	-0.28596	-0.35205	0.03069	0
-0.17631	-0.87907	0.59308	-0.21012	0.38612	0.11184	-0.14543	-0.35205	-0.58508	0
-0.88757	-0.14432	0.53069	-0.4705	0.11499	0.09651	-0.27191	-0.35205	-0.58508	0
0.23859	0.59043	0.58615	-0.25018	-1.08571	0.01985	-0.12435	-0.13082	-0.58508	0
-0.13021	-0.81784	0.55149	-0.19009	0.39903	0.21917	-0.19461	-0.35205	-0.58508	0
1.23963	0.9823	0.7872	-1.95267	-1.13736	-0.59347	0.43076	-0.35205	-0.58508	0
1.23963	0.9823	0.7872	-1.95267	-1.13736	-0.59347	0.43076	-0.35205	-0.58508	0
-0.14338	-0.75661	0.56535	-0.65076	0.4894	0.21917	-0.13137	-0.35205	-0.58508	0
-0.26851	-0.85458	0.50989	-0.49053	0.70889	0.14251	-0.22272	-0.35205	-0.58508	0
-0.18948	-0.24228	0.48909	-0.23015	0.14081	0.14251	-0.25785	-0.35205	-0.58508	0
1.22975	0.3945	0.80107	-1.45193	-1.15027	-0.50147	0.55021	-0.35205	-0.58508	0
