1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	C
0.34794	0.71136	-0.23392	0.48352	-0.20145	0.57624	-0.95332	0.9627	-0.29709	0.6677	-0.67215	0.31622	-1.09698	0.40011	-0.98907	0.74692	-0.76858	0.35565	-0.5739	0.3821	-0.58868	0.01157	-0.789	0.2973	-0.86633	-0.25351	-0.71295	-0.28788	-0.61616	0.12276	-1.05355	-0.31178	-0.99817	1
0.34794	0.72062	-0.52706	0.6334	-1.03611	-1.3372	-2.02656	0.9627	-0.46881	0.05778	-1.68238	-0.09078	-1.59735	-1.31889	-2.28261	-0.52904	-1.24557	-0.04519	-1.88022	-0.76777	-0.89025	-0.89941	-0.56864	-1.03631	-0.38251	-1.44578	-0.20812	-0.98777	-0.17328	-0.90777	-0.11505	-0.93128	-0.08317	0
0.34794	0.72062	-0.17675	0.76738	-0.24096	0.91323	-0.46084	0.74508	-0.35004	0.45189	-0.20529	0.72909	-0.17205	0.30904	-0.14866	0.73752	-0.26738	0.63226	-0.11824	0.61029	-0.54677	0.11822	-0.11985	0.3097	-0.65097	0.09337	-0.27619	0.09126	-0.28691	0.44069	-0.46343	0.40387	-0.84738	1
0.34794	0.72062	-1.12357	0.76738	1.9186	0.32896	-2.14952	-1.00943	-0.3748	-0.84505	-0.31333	-0.64418	-0.18876	-2.05898	0.1615	0.25726	-0.78445	-2.17062	-1.00302	-1.69957	1.91387	-0.60036	0.10884	1.04394	1.92359	-0.04942	1.94452	1.0793	-0.34073	-0.16745	1.95452	-1.28799	2.1043	0
0.34794	0.72062	-0.15491	0.65466	-0.10976	0.75299	-0.67578	0.51211	-0.71372	0.09192	-0.72308	0.26244	-0.20315	-3.20368E-4	-0.7542	0.23859	-0.43116	0.14639	-0.29688	-0.45402	-0.70257	-0.56211	-0.89369	-0.62801	-1.1414	-0.79182	-0.84091	-0.61494	-1.16947	-0.7167	-1.15258	-0.75659	-1.43369	1
0.34794	-1.24163	-0.11393	-1.3471	-0.51079	-1.13208	-0.45627	-0.71941	-0.23763	-0.77786	-0.44069	-0.64418	-0.18876	-0.59722	-0.49421	-0.62357	-0.19797	-0.75869	-0.05802	-0.52198	0.0548	-0.5752	0.12567	-0.62409	0.10981	-1.11204	0.29411	-0.79362	0.06935	-0.61684	0.00739	-0.66918	0.22554	0
0.34794	0.67216	-0.34069	0.66353	-0.70287	0.7672	-0.77362	0.68652	-0.93989	0.5705	-1.28195	0.61308	-1.21456	0.61597	-1.4955	0.31957	-1.36332	0.03055	-1.37241	0.04353	-1.49357	-0.07204	-1.4032	-0.2908	-1.46541	-0.78467	-1.37369	-0.57717	-1.56709	-0.69142	-1.57599	-0.93307	-1.75991	1
-2.8659	-1.28859	-0.10052	-1.15621	-0.25149	0.91323	-2.14952	-1.00943	-0.3748	-2.61968	-2.33428	-0.64418	-0.18876	-0.52718	-0.15519	1.00005	2.02032	-2.17062	-1.88022	-0.55212	-0.01601	-0.60036	0.10884	1.04394	2.10658	0.88794	1.94452	-0.65715	0.05494	1.13299	1.95452	-0.66843	-0.03092	0
0.34794	0.64738	-0.26358	0.76738	-0.56253	0.91323	-0.63848	0.9627	-1.12242	0.79773	-1.19384	0.87482	-1.01055	0.85744	-1.16705	0.97262	-0.70246	0.776	-1.22559	0.68341	-1.18531	0.55302	-1.1088	0.78645	-1.14694	0.06612	-1.14101	-0.21549	-1.20337	0.17258	-1.40972	0.07574	-1.59859	1
0.34794	-1.32604	-0.29214	-1.15621	-0.25149	-1.1166	-0.22921	-0.78323	-0.92889	-1.6554	-1.08476	-0.64418	-0.18876	-1.04272	0.68697	-1.21886	0.3096	0.44373	0.47233	-0.55212	-0.01601	-0.60036	0.10884	-0.94073	0.11392	-0.64934	0.08472	-0.65715	0.05494	-0.32646	0.47637	-0.82547	0.78185	0
