1	2	3	4	C
-0.89767	1.02861	-1.33679	-1.30859	0
-1.1392	-0.12454	-1.33679	-1.30859	0
-1.38073	0.33672	-1.39347	-1.30859	0
-1.50149	0.10609	-1.28012	-1.30859	0
-1.01844	1.25924	-1.33679	-1.30859	0
-0.53538	1.95113	-1.16677	-1.04652	0
-1.50149	0.79798	-1.33679	-1.17756	0
-1.01844	0.79798	-1.28012	-1.30859	0
-1.74302	-0.35517	-1.33679	-1.30859	0
-1.1392	0.10609	-1.28012	-1.43963	0
-0.53538	1.48987	-1.28012	-1.30859	0
-1.25996	0.79798	-1.22344	-1.30859	0
-1.25996	-0.12454	-1.33679	-1.43963	0
-1.86378	-0.12454	-1.50682	-1.43963	0
-0.05233	2.18176	-1.45015	-1.30859	0
-0.17309	3.10428	-1.28012	-1.04652	0
-0.53538	1.95113	-1.39347	-1.04652	0
-0.89767	1.02861	-1.33679	-1.17756	0
-0.17309	1.7205	-1.16677	-1.17756	0
-0.89767	1.7205	-1.28012	-1.17756	0
-0.53538	0.79798	-1.16677	-1.30859	0
-0.89767	1.48987	-1.28012	-1.04652	0
-1.50149	1.25924	-1.5635	-1.30859	0
-0.89767	0.56735	-1.16677	-0.91549	0
-1.25996	0.79798	-1.05341	-1.30859	0
-1.01844	-0.12454	-1.22344	-1.30859	0
-1.01844	0.79798	-1.22344	-1.04652	0
-0.77691	1.02861	-1.28012	-1.30859	0
-0.77691	0.79798	-1.33679	-1.30859	0
-1.38073	0.33672	-1.22344	-1.30859	0
-1.25996	0.10609	-1.22344	-1.30859	0
-0.53538	0.79798	-1.28012	-1.04652	0
-0.77691	2.41239	-1.28012	-1.43963	0
-0.41462	2.64302	-1.33679	-1.30859	0
-1.1392	0.10609	-1.28012	-1.43963	0
-1.01844	0.33672	-1.45015	-1.30859	0
-0.41462	1.02861	-1.39347	-1.30859	0
-1.1392	0.10609	-1.28012	-1.43963	0
-1.74302	-0.12454	-1.39347	-1.30859	0
-0.89767	0.79798	-1.28012	-1.30859	0
-1.01844	1.02861	-1.39347	-1.17756	0
-1.62225	-1.73895	-1.39347	-1.17756	0
-1.74302	0.33672	-1.39347	-1.30859	0
-1.01844	1.02861	-1.22344	-0.78446	0
-0.89767	1.7205	-1.05341	-1.04652	0
-1.25996	-0.12454	-1.33679	-1.17756	0
-0.89767	1.7205	-1.22344	-1.30859	0
-1.50149	0.33672	-1.33679	-1.30859	0
-0.65615	1.48987	-1.28012	-1.30859	0
-1.01844	0.56735	-1.33679	-1.30859	0
1.39683	0.33672	0.53351	0.26382	1
0.67225	0.33672	0.42016	0.39485	1
1.27607	0.10609	0.64686	0.39485	1
-0.41462	-1.73895	0.13678	0.13278	1
0.79301	-0.5858	0.47683	0.39485	1
-0.17309	-0.5858	0.42016	0.13278	1
0.55149	0.56735	0.53351	0.52588	1
-1.1392	-1.50832	-0.25995	-0.26032	1
0.91378	-0.35517	0.47683	0.13278	1
-0.77691	-0.81643	0.0801	0.26382	1
-1.01844	-2.43084	-0.1466	-0.26032	1
0.06843	-0.12454	0.25013	0.39485	1
0.1892	-1.96958	0.13678	-0.26032	1
0.30996	-0.35517	0.53351	0.26382	1
-0.29386	-0.35517	-0.08993	0.13278	1
1.03454	0.10609	0.36348	0.26382	1
-0.29386	-0.12454	0.42016	0.39485	1
-0.05233	-0.81643	0.19345	-0.26032	1
0.43072	-1.96958	0.42016	0.39485	1
-0.29386	-1.27769	0.0801	-0.12929	1
0.06843	0.33672	0.59018	0.78795	1
0.30996	-0.5858	0.13678	0.13278	1
0.55149	-1.27769	0.64686	0.39485	1
0.30996	-0.5858	0.53351	0.00175	1
0.67225	-0.35517	0.30681	0.13278	1
0.91378	-0.12454	0.36348	0.26382	1
1.1553	-0.5858	0.59018	0.26382	1
1.03454	-0.12454	0.70354	0.65692	1
0.1892	-0.35517	0.42016	0.39485	1
-0.17309	-1.04706	-0.1466	-0.26032	1
-0.41462	-1.50832	0.02343	-0.12929	1
-0.41462	-1.50832	-0.03325	-0.26032	1
-0.05233	-0.81643	0.0801	0.00175	1
0.1892	-0.81643	0.76021	0.52588	1
-0.53538	-0.12454	0.42016	0.39485	1
0.1892	0.79798	0.42016	0.52588	1
1.03454	0.10609	0.53351	0.39485	1
0.55149	-1.73895	0.36348	0.13278	1
-0.29386	-0.12454	0.19345	0.13278	1
-0.41462	-1.27769	0.13678	0.13278	1
-0.41462	-1.04706	0.36348	0.00175	1
0.30996	-0.12454	0.47683	0.26382	1
-0.05233	-1.04706	0.13678	0.00175	1
-1.01844	-1.73895	-0.25995	-0.26032	1
-0.29386	-0.81643	0.25013	0.13278	1
-0.17309	-0.12454	0.25013	0.00175	1
-0.17309	-0.35517	0.25013	0.13278	1
0.43072	-0.35517	0.30681	0.13278	1
-0.89767	-1.27769	-0.42998	-0.12929	1
-0.17309	-0.5858	0.19345	0.13278	1
0.55149	0.56735	1.27029	1.70519	2
-0.05233	-0.81643	0.76021	0.91899	2
1.51759	-0.12454	1.21362	1.18105	2
0.55149	-0.35517	1.04359	0.78795	2
0.79301	-0.12454	1.15694	1.31209	2
2.12141	-0.12454	1.61035	1.18105	2
-1.1392	-1.27769	0.42016	0.65692	2
1.75912	-0.35517	1.44032	0.78795	2
1.03454	-1.27769	1.15694	0.78795	2
1.63836	1.25924	1.32697	1.70519	2
0.79301	0.33672	0.76021	1.05002	2
0.67225	-0.81643	0.87356	0.91899	2
1.1553	-0.12454	0.98692	1.18105	2
-0.17309	-1.27769	0.70354	1.05002	2
-0.05233	-0.5858	0.76021	1.57416	2
0.67225	0.33672	0.87356	1.44312	2
0.79301	-0.12454	0.98692	0.78795	2
2.24217	1.7205	1.66703	1.31209	2
2.24217	-1.04706	1.78038	1.44312	2
0.1892	-1.96958	0.70354	0.39485	2
1.27607	0.33672	1.10027	1.44312	2
-0.29386	-0.5858	0.64686	1.05002	2
2.24217	-0.5858	1.66703	1.05002	2
0.55149	-0.81643	0.64686	0.78795	2
1.03454	0.56735	1.10027	1.18105	2
1.63836	0.33672	1.27029	0.78795	2
0.43072	-0.5858	0.59018	0.78795	2
0.30996	-0.12454	0.64686	0.78795	2
0.67225	-0.5858	1.04359	1.18105	2
1.63836	-0.12454	1.15694	0.52588	2
1.87988	-0.5858	1.32697	0.91899	2
2.4837	1.7205	1.497	1.05002	2
0.67225	-0.5858	1.04359	1.31209	2
0.55149	-0.5858	0.76021	0.39485	2
0.30996	-1.04706	1.04359	0.26382	2
2.24217	-0.12454	1.32697	1.44312	2
0.55149	0.79798	1.04359	1.57416	2
0.67225	0.10609	0.98692	0.78795	2
0.1892	-0.12454	0.59018	0.78795	2
1.27607	0.10609	0.93024	1.18105	2
1.03454	0.10609	1.04359	1.57416	2
