1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	C
-0.39859	-0.04055	-0.02686	-0.71338	0.36358	-0.10101	0.52038	0.29713	1.12256	0.02113	-0.56602	-0.65696	-0.3512	-1.41097	-1.23743	-0.64985	-0.40194	-0.5828	0.01158	-0.31733	-0.11931	-0.45792	-0.8561	-0.49204	-0.01765	-0.24604	0.03356	0.48053	0.15411	-0.88439	-1.74668	-0.83776	0.45944	1.51991	1.77951	1.76378	1.27294	1.26797	0.84642	-0.20601	-1.39238	0.03027	0.2587	1.58694	0.441	-0.16449	-0.19957	0.68693	-0.37906	0.8764	0.59385	-1.11275	-0.59617	0.67926	-0.29493	1.47807	1.75954	0.0697	0.17126	-0.65736	0
0.70184	0.42062	1.05308	0.32255	0.7758	2.60094	1.51896	2.50494	1.31515	0.58729	1.92749	2.89122	2.96956	2.93743	2.0747	2.43247	2.21489	1.66361	1.1535	0.83286	-0.34078	-0.85615	-1.0044	-1.17622	-1.43073	-1.60127	-1.52674	-1.75946	-0.83153	-1.71293	-0.58729	-0.6769	-1.05959	-0.73141	-1.01096	0.12628	0.08209	-1.09853	-0.71229	-0.63924	-0.71212	-1.30383	-0.76581	-0.38468	-0.89121	-1.04773	-0.79874	-0.27595	-0.30675	-1.04823	-0.29719	-0.52109	-0.25624	-0.84112	0.01547	1.89647	1.06816	-0.47127	-0.44348	-0.41884	0
-0.12892	0.59962	1.71926	1.16935	0.39958	2.0883	1.96403	2.8455	3.22499	3.05873	2.99377	3.25389	1.99412	1.43142	1.59521	1.3523	0.98574	1.15774	1.50429	1.13783	0.73051	0.19315	-0.87009	-1.28747	-0.58109	-1.93302	-0.79442	0.67151	-0.16014	1.22525	1.62027	0.30698	-1.11867	-0.57227	0.1182	-0.30496	1.03285	1.57739	1.06342	0.89943	1.02535	-0.11612	-0.24204	0.06096	0.09146	-1.06789	0.142	-0.27275	-1.08274	-0.71892	-1.06331	1.01514	0.83436	-0.19736	1.22885	2.82044	4.11025	1.30621	0.25215	0.25696	0
-0.83354	-0.64735	0.48058	-0.71768	-0.9847	-1.1466	-0.19335	-0.08454	-0.99844	-0.609	-1.1146	-0.36425	-1.80833	-0.42845	-0.71705	-0.71088	-1.3148	-0.85734	-0.38301	-0.63105	-1.29921	-0.99762	-0.36524	-0.78646	-1.47564	-0.70172	-0.7187	-1.86359	-1.8026	-1.01938	0.56789	1.38325	0.94319	-0.2315	0.01053	-0.3167	0.73774	2.54371	3.31484	3.38905	1.88677	1.31754	0.5357	0.79619	1.53182	1.52883	1.64511	1.06023	0.44977	0.65686	0.6688	-0.13703	-1.00691	0.55598	-0.11152	-0.16067	-0.48746	-0.54855	-0.63762	1.03215	0
2.04585	0.85448	0.11106	-0.31148	-0.29166	-0.67118	-0.0137	1.31413	1.5069	1.76795	1.35027	1.03503	1.08039	0.71094	0.64548	0.66243	1.19319	0.63848	-1.16909	-0.37862	-0.75348	-0.76236	-0.29569	-0.55519	-1.46707	-1.98698	-0.01081	1.29001	0.35016	-0.49163	0.02722	0.50113	-0.62524	-1.31954	-0.76205	0.1259	0.40262	-0.08432	-0.216	-0.38177	-0.53387	-0.20087	-0.44493	-0.97512	-0.84438	-0.80508	-0.9977	-1.32856	-0.80461	-1.158	-0.03903	-1.07123	-0.75197	-0.06039	0.24121	-1.17181	-0.1072	-0.48673	0.44628	0.57499	0
-0.02453	0.20824	-0.4198	-0.78431	-0.66248	-0.09424	-0.02665	0.56958	0.2745	0.71153	0.47313	1.24778	2.56093	3.18123	3.3092	2.66629	2.0283	1.72134	0.84728	-0.19359	-1.55792	-0.88234	-0.23174	-1.612	-1.92353	-0.51287	-0.66456	-1.34502	-1.25275	-0.33625	0.25012	0.18177	-0.42283	-0.79325	-0.97198	-0.37577	0.07041	0.35752	0.39985	0.10295	-0.10842	-0.07879	-1.2536	-0.67728	-0.51463	-0.38623	-0.69179	-0.67328	-0.71004	-0.90187	-0.47206	-0.92591	-1.31851	-0.97809	-1.12737	0.11826	-0.36647	-0.81131	-0.45966	-0.06106	0
0.11031	1.73433	2.29696	1.86786	1.65966	1.12392	-0.78732	0.06225	0.25592	1.06417	-0.43264	-1.31662	-1.57493	0.47808	1.07921	0.71143	0.37552	-0.09987	-1.17219	-0.53206	0.63316	1.36478	1.16728	-0.48827	-0.60681	-0.07278	-0.53267	-0.63715	-1.76639	-1.65812	0.35807	0.90631	-0.58456	-0.9338	-0.3692	0.4977	1.04827	0.41622	1.11566	1.69087	1.24158	-0.24058	-0.36579	-0.29391	-0.44076	-0.75357	-0.11561	0.2127	-0.03418	-0.33107	0.28574	0.69336	1.99578	0.29574	-0.32315	0.9725	0.23849	0.98163	-0.70233	0.75388	0
0.98891	0.49647	1.05048	-0.47267	0.7308	-0.20929	-0.30826	-0.86315	-0.2661	0.56199	0.33297	0.41678	-0.05395	0.50787	1.17998	0.25409	-0.58512	-1.27106	0.63099	1.43594	0.67544	-0.34811	0.1356	1.02354	0.35062	0.51484	0.75327	-0.35804	-1.43756	-2.13196	-1.74154	-1.7663	-1.54092	-0.01139	-0.10022	-1.05954	-0.71821	0.25047	0.5174	-0.31684	-1.01777	-0.34786	-0.4219	-0.52798	0.11454	0.56271	-0.11446	-1.05779	-0.65163	-0.19203	-0.90509	-0.55223	0.18283	-0.88221	0.39641	0.25773	0.1175	-0.50218	-0.50819	-0.23995	0
-0.29855	-0.02841	0.11887	-0.13739	-0.18905	-0.76931	-0.75171	-1.46795	-0.9258	-0.4431	-0.90738	-0.60555	0.78031	0.38445	-0.72484	-1.13856	-1.44526	-0.27805	0.91201	1.63506	1.43954	1.03455	0.09683	-1.02065	-1.3801	0.15485	1.05409	0.17402	-0.6513	-1.90953	-0.95226	-0.13806	-0.4853	-0.31453	-0.19979	-0.62944	-0.48979	-0.31486	-0.79267	-0.17915	-0.1955	-0.61811	-0.24779	-0.78156	-0.65115	-0.25035	0.26965	0.40015	0.71678	1.71796	-0.83014	0.11208	0.29614	0.4875	-0.49246	-0.57907	-0.22819	0.20881	-0.33024	-0.85613	0
-0.55517	-0.64128	-0.23764	-1.00783	-1.01711	-0.63396	-0.26132	-0.7645	-0.69098	-1.36263	-1.17489	-1.03248	-1.04074	-1.26201	-1.46233	-1.13985	-0.50586	-0.49294	-0.70163	-0.49399	-0.00877	0.55074	1.09253	1.25147	1.00143	0.2303	0.51594	0.8292	0.36972	0.49229	0.36648	0.25539	-0.51871	-1.61145	-1.42078	-1.03758	-0.85201	-0.95109	-1.28695	-1.48889	-1.3281	-0.80718	-0.62479	-0.56774	-1.05542	-0.68563	-0.41118	-0.64284	-1.18843	-0.04567	-0.35548	-0.45881	1.64169	0.9532	-0.12563	-0.24784	-0.79858	-0.68766	-0.37877	-0.49835	0
