1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	C
-1.22276	-1.80205	-2.03914	-0.89851	-0.42358	0.12275	-0.89881	-1.40271	-1.72676	-1.37033	-1.33635	0.78441	0.12781	2.89832	0.96214	0.63484	2.26652	1.64167	0.44977	-0.10848	-0.54021	2
-0.68817	1.98476	-0.05256	0.76905	0.58936	0.6905	1.41791	1.08287	0.17911	-0.5019	-0.31185	-0.92804	-0.87123	-0.43101	-0.38027	-1.84489	-0.30242	0.28976	0.93418	0.22444	2.44857	1
-0.12389	-1.21363	0.51985	1.12941	0.66086	0.85586	1.13018	0.33834	-0.4642	-0.59985	-1.6739	-1.03383	-0.10832	-1.43663	-0.61308	0.4305	-0.4162	-0.26941	-0.56082	-1.061	-0.09891	0
0.84628	-0.04626	1.27744	-0.7148	-0.10778	0.2826	-0.14476	1.59832	1.67015	1.20883	0.77779	0.68524	-0.05989	-0.7094	-0.69729	-0.32612	-0.15871	-1.72041	1.81949	-1.42167	1.14474	1
1.14327	0.02966	-0.22933	-1.11756	0.80386	-0.54973	0.01399	0.80224	1.60401	0.35346	0.87846	1.17451	0.98154	-0.45942	-0.45457	-0.98885	-0.90723	-0.61623	-0.72786	-1.07025	-0.66056	1
-0.00509	0.40929	0.5451	-0.49575	-1.54377	-0.63792	-0.52675	-0.63527	0.15506	1.15659	1.31076	0.85053	1.33877	0.09168	-0.13754	0.92755	-1.38629	-0.21986	0.20756	-1.99503	0.41259	2
0.85618	0.69402	-1.11319	0.33096	-0.28058	0.38733	0.50015	0.1608	0.68414	1.44389	2.85639	0.18274	0.94521	-0.12421	-1.11339	-0.22119	-0.36829	-0.24109	-0.51071	-0.55237	0.69341	1
-0.22289	-1.18515	-1.55933	-0.45336	-1.92511	-1.97736	-0.37296	-1.09344	-0.57242	-0.63249	0.17375	0.59267	0.03094	0.93254	1.11074	0.02181	-0.12278	-1.1754	-1.66327	0.04874	-0.73077	2
-1.10396	-1.40344	-1.31522	-0.70067	-0.46529	-0.8584	-1.20143	-0.29164	-0.62051	-0.80879	0.34549	1.76296	0.43055	0.90413	0.57576	1.41355	1.10481	0.36054	1.8696	-0.20095	-0.09891	2
-0.74757	0.72249	-2.16541	0.30976	-0.50104	-0.88045	-0.89385	0.48725	-0.03132	0.98683	2.06877	2.59605	-1.16791	0.3303	-0.77655	-1.2429	-0.36231	-0.99845	-1.80526	0.09498	1.49577	2
0.1335	-1.4414	0.62928	0.91037	1.06603	0.63538	0.41086	1.07715	-0.76481	0.27511	0.03754	-0.1214	-1.58569	-1.16392	0.47669	0.0439	-1.29647	-0.31895	-1.01182	-0.72808	-1.03165	0
1.30167	-0.70113	-1.14686	2.24583	1.3997	1.10391	1.27901	0.69916	-0.30187	-0.76308	0.18559	-1.32475	-0.52005	-0.8628	-1.3462	-0.96124	-0.50003	0.26853	0.49153	-1.56963	0.553	0
-0.92577	2.03221	0.44409	1.39792	0.95282	0.86689	0.50511	0.8767	0.32942	0.35346	-0.51912	-0.55778	-1.1558	-1.20937	-0.11278	-1.59636	-0.49405	-0.98429	0.13239	-0.20095	-0.61041	1
-1.05446	0.23846	0.28415	1.65229	0.4404	0.66294	1.01112	0.88815	1.23726	-0.5019	-0.39476	-0.14785	-0.38079	-2.37407	-2.07437	-0.90049	-0.85334	0.02787	-0.61928	-0.58012	0.49282	1
1.83625	0.02966	-0.86066	-0.17779	-0.28058	-0.98518	-0.3432	-0.65245	-0.49426	-0.3909	0.34549	0.4935	0.35789	-0.59009	0.21416	0.4305	0.14669	0.48087	1.62739	-1.17198	-0.24935	2
-0.50998	-0.77705	-0.27142	-1.88068	-0.62617	0.24953	-1.36514	-0.36037	-1.13155	-1.02427	-1.30674	-0.32637	-0.37474	1.05185	0.80858	1.46878	1.17666	-0.43928	0.07393	1.29719	0.39253	0
1.14327	-1.4509	-2.46845	-0.25551	-0.59041	-0.26861	-0.27374	-0.04538	-0.98726	-0.63902	0.41655	1.01583	1.79893	0.05191	0.23397	0.36975	0.40418	2.20792	-1.22897	-0.26569	-0.94139	2
-0.09419	1.86138	-0.928	-0.44629	-0.71554	-1.76239	-0.59124	-0.23437	0.49776	-0.55414	1.97994	1.61089	-0.27786	0.08032	-0.01866	-0.07207	-0.51201	0.69321	0.81725	0.89029	0.73353	2
-1.42075	-0.75807	-1.00376	0.3239	-0.78108	-0.3568	-0.63093	-1.05908	-1.58848	-1.04385	-0.46582	-0.39249	0.2368	1.59727	1.80423	2.48497	1.95513	1.96018	0.80055	0.6036	-1.84404	0
-1.08416	-0.53029	-0.47344	-1.42846	-0.13161	-0.15285	-0.37296	0.54452	-0.2718	1.09783	0.40471	1.52494	-0.63509	-0.35715	-1.11339	-0.34821	0.27843	-1.12585	-1.5714	-0.4229	-1.54315	1
-0.94557	-1.53631	0.00637	-0.91971	-1.40076	-0.07568	-1.38498	-1.43135	-2.2378	-2.10817	-1.10539	-0.47183	0.93915	1.16548	2.35407	2.30824	0.99702	2.00973	1.39354	0.8533	0.10168	2
0.95518	0.36184	-1.10477	-1.3154	-0.38783	-0.65997	-1.55365	-1.20799	-1.26382	-1.75557	-0.8093	-0.35281	0.27313	-0.0674	1.83396	1.7891	1.8174	1.96018	-0.15992	1.75033	-0.27944	0
0.3018	-0.64418	-1.67718	-1.57684	-1.54377	-1.11196	-2.21345	-1.45998	0.3715	0.41876	-0.00983	0.48688	1.96846	1.56886	1.13551	1.7394	0.44011	1.85401	0.75044	-0.28419	-0.28947	2
-1.55935	0.84587	1.14276	0.76198	1.53079	1.49527	0.88214	0.63043	1.3996	0.9803	0.15006	-0.63712	-0.514	-1.14119	-1.41555	-0.66853	-1.64977	-1.22495	-2.25626	2.12025	-0.23932	1
0.381	0.56114	-0.4061	-1.05396	-0.54871	-1.42064	-1.256	-1.03617	-0.0253	0.21634	0.63566	0.81086	0.55165	0.80186	0.38258	0.18197	0.42215	-0.12077	0.41636	0.41865	0.93412	2
-0.95546	-0.19812	-0.45661	-1.19528	0.9409	-0.40641	0.4059	0.97406	-1.2518	-0.40396	-0.77969	-0.26025	0.04304	-0.02763	0.50146	0.58514	0.04489	0.06326	0.49153	-0.59861	-0.38977	0
0.3513	0.05813	0.04845	0.64893	0.07693	0.6464	0.02887	0.53879	-0.99327	0.1837	-1.34819	-0.97432	0.46082	-0.11285	-0.03352	-1.36993	-0.18865	-0.71532	1.4687	0.32617	-0.79094	0
1.20267	-0.50182	0.59561	-0.58761	-0.69767	0.59128	0.69859	1.5525	0.99678	0.63423	2.00955	-0.56439	0.09148	-0.78326	-0.53382	-0.70167	-0.32039	-0.60208	-1.37931	0.22444	0.15182	1
-1.06436	0.79841	-0.75123	0.09779	-0.77513	-0.91904	-0.94346	-0.83572	-0.13954	-0.43661	0.53499	0.15629	1.27216	0.87004	0.31323	0.50229	-0.8234	1.11082	0.20756	1.01976	0.41259	2
0.99478	0.05813	0.28415	-0.27671	0.8694	-0.16388	-0.60612	0.77361	1.55591	0.96724	0.78963	1.01583	0.13992	-1.33436	-0.50906	-0.59674	-1.0749	-0.34727	0.64186	-0.37666	-1.78386	1
-0.72777	-0.61571	-2.14857	-1.6899	-0.507	-0.30719	0.35629	0.15508	1.44168	1.97279	1.75491	0.26208	1.11474	1.14275	-0.78645	-0.74585	-0.62579	0.18359	-1.42107	-0.99627	-0.69065	2
-0.47038	0.11508	3.22194	1.48978	1.23883	1.53936	1.86935	0.59607	0.85248	-0.62596	-1.46071	-0.81564	-2.09429	-2.57292	-2.34681	-0.94467	-0.79346	-0.66578	-1.18721	1.05675	0.52291	0
0.1929	0.95976	-1.18895	-0.84905	1.86446	1.00469	1.31374	0.84233	0.10697	-0.76961	-2.79315	-1.27847	-1.22846	-1.7207	-0.9945	-1.3147	-0.66172	-0.17739	0.32449	1.60237	-0.04877	0
-0.83667	0.58962	1.39529	2.73338	2.20409	1.96931	1.96361	1.11151	0.44966	-0.08401	-1.79234	-1.64212	-1.50092	-2.51043	-1.51462	-1.30365	-0.46411	-0.81442	-0.33532	-1.15348	0.88397	0
0.3315	0.99772	-1.1637	-0.72186	-1.7106	-0.4946	-1.3701	-0.9789	-1.05941	-1.32462	-0.06313	-0.29992	0.13387	1.71658	1.10579	2.40213	0.45808	0.7286	-0.9116	1.2417	1.93706	2
1.63826	-0.84349	-0.90275	-1.14582	-0.25674	-0.64894	-0.60116	-0.60091	-0.5664	-0.18849	0.34549	-1.65534	1.49619	0.84731	0.78876	1.84985	0.9551	2.67507	0.92583	0.70533	-0.92133	2
-1.83654	-0.27404	0.48618	0.44402	-0.45933	-0.97967	-1.29568	-1.6318	-1.41413	0.42529	-0.84483	0.01083	0.05515	1.45523	1.11074	0.71768	2.60186	1.83278	0.26602	1.01976	-0.68062	2
0.91558	1.08314	0.28415	-0.91264	-0.21503	-0.69855	-1.18654	0.57316	0.20917	0.57547	-0.43621	0.09018	1.19345	0.69391	0.35781	-0.70167	0.76348	0.82062	1.20144	1.38967	-0.00865	2
-0.93567	1.11161	0.62086	1.05875	0.13652	0.16134	0.90198	0.82515	-0.1696	-0.9655	-1.33043	-1.11978	-1.18608	0.92685	-0.19699	-1.0717	-0.34434	-0.33311	-0.56082	0.57586	-1.46292	0
1.69766	1.07365	1.6394	1.49684	-0.10182	0.6464	0.62914	1.05997	0.26328	0.63423	-0.38291	-1.15284	-1.33139	-0.66963	-0.22175	-0.66853	0.42814	-0.70825	-0.05135	-2.32795	-0.5703	1
-0.66837	0.14355	-0.10306	-1.46379	-0.28058	1.41259	-0.2291	1.05997	1.37555	0.94765	0.93768	0.70507	-0.68958	-0.19239	0.03088	0.08809	0.15268	0.33931	0.1658	-0.45989	2.05742	1
0.2424	0.20999	1.42896	0.02713	-0.65596	-1.49781	-0.46226	-1.32826	-1.22174	-0.75003	-0.21118	-0.47183	1.22978	1.60295	1.08102	1.22025	0.6497	0.55165	0.85901	-0.49688	0.67335	0
-0.77727	-0.30251	1.54681	1.28486	0.63107	0.6464	0.93671	0.77934	0.11899	0.02046	-1.11724	-1.13962	-0.88334	-0.81167	-1.90595	-0.60226	-0.59585	-0.93474	0.67527	-0.59861	0.70344	1
-2.77701	0.67503	-0.41452	1.03756	-0.07203	0.77318	0.773	0.4987	1.01481	1.05212	0.55868	0.36126	-0.53216	-1.93092	-1.31153	0.17093	-0.20661	-0.77903	0.69197	-0.98702	1.61612	1
0.07411	1.78545	1.31111	-0.41096	-0.90621	0.15031	-0.93354	-1.45998	0.43163	-1.57927	-2.08252	1.31336	0.84833	0.78482	2.042	1.5958	1.75153	2.5689	0.93418	1.39892	-0.07885	2
1.88575	1.25397	0.78921	1.9208	-0.03032	1.5118	0.94663	-0.00529	1.27935	0.31429	-1.135	-0.1743	-1.42221	-0.43669	-0.5041	-0.3206	-0.12877	-0.13492	-1.63822	0.45564	-1.96439	0
0.45029	-2.44743	-0.57446	-0.22018	-0.17928	0.24953	-0.17453	-1.22517	-0.76481	0.34693	-0.2171	-0.75613	1.8171	2.11996	0.90765	1.63446	-0.40422	0.64366	0.18251	0.08573	-0.19921	2
0.58889	-0.60622	-2.79674	-1.0469	-0.67383	-1.72381	-1.21135	-0.67536	0.27531	-0.71085	-0.25263	0.55961	0.82411	0.63142	0.51632	0.38632	-0.52399	0.78523	-0.9283	1.26945	-0.59036	2
-0.58918	-0.2171	-1.32363	1.15061	2.28751	0.45348	2.0033	1.16306	1.49579	0.19676	-0.04536	-1.17268	-0.62298	-0.3742	-1.93072	0.32557	-0.38027	0.68613	-0.08476	-0.80206	1.92704	1
-0.18329	-0.1127	0.84814	-1.39313	-1.12072	-0.32373	-1.64791	-1.40271	-0.59045	-0.63902	-0.69086	-0.59745	1.39326	1.22797	0.87793	1.1595	1.38625	1.27361	-0.18498	-0.80206	0.7235	2
-0.79707	0.39031	0.89023	0.06952	-0.35804	0.66294	-0.3928	-1.82079	-1.02935	-1.48133	-0.7027	0.20258	0.13992	0.97799	-0.03352	1.28101	-0.30242	-0.28356	0.78385	0.75157	1.66627	0
-0.17339	-0.79603	0.56194	-0.3615	0.52977	0.07865	0.41582	0.16653	0.97273	2.1752	2.4537	0.97616	1.64756	0.45529	-0.50906	-0.67958	-1.027	-0.38266	-0.94501	-0.37666	1.62615	1
-1.40095	1.35837	1.05016	1.88547	0.85153	-0.05915	0.24715	0.17798	-0.22371	0.43182	-0.40068	-1.54294	-0.23548	-0.75486	-0.28615	0.39736	0.06286	-0.09953	-0.55247	-1.21821	-0.15909	0
0.2424	-2.10576	-1.74452	-0.29791	-0.23291	-0.41192	-1.17166	-0.83572	-0.59045	-0.84144	0.26258	0.16952	0.45477	1.0973	2.02219	1.01039	-0.33835	0.48087	0.62516	-0.31193	0.33235	2
0.4107	0.11508	0.80605	1.10822	1.10774	1.11493	0.86726	1.38641	-0.50628	1.13701	0.48761	0.57284	-1.23451	-1.18097	-1.15797	-1.96639	0.06885	-1.14001	-0.53576	0.87179	-2.40568	1
-0.60897	-1.66918	-1.34889	-2.0432	-0.44741	-0.82533	-1.01291	-0.58373	0.35347	-0.75655	0.61197	2.50348	0.79384	-0.12421	0.65007	1.2313	0.70958	0.94802	0.69197	-1.19047	-0.28947	2
0.48989	-1.02381	0.01478	0.15431	-1.06113	-0.40641	-0.65077	-1.33971	-0.53634	-0.6782	0.00793	0.89682	0.69091	-0.34011	1.30393	0.3587	1.02097	0.47379	1.48541	0.15046	0.553	2
-1.78704	-0.3215	0.01478	0.11898	0.21993	0.1889	-0.06043	-0.34319	0.64205	0.37305	0.3218	1.3927	0.68485	0.853	-0.4298	0.13227	-0.70962	0.30392	0.21591	0.54812	-0.18918	2
1.09378	-1.50784	-0.43136	-0.26258	-0.24483	-1.00172	-1.00299	-0.44628	-1.61854	-0.92632	-0.22894	0.86376	0.37606	1.13707	1.43272	1.32519	-0.05092	2.61137	0.86736	1.33418	0.33235	0
0.1533	0.58013	-0.29667	0.41575	-0.21503	-0.38436	0.02391	-1.53444	-1.56443	-0.58679	-1.08763	-1.27185	0.46082	1.31319	0.10023	0.50782	0.69761	0.61535	-0.56082	2.56414	0.60315	0
0.51959	0.10559	-0.66705	-0.54522	-1.07901	-0.59382	-0.31343	0.02908	1.11702	-0.26031	2.12799	1.02244	-0.21731	1.10866	-0.63785	-0.13835	-0.65573	-0.60915	1.53552	-1.16273	0.08162	2
-1.55935	-0.96687	0.57877	-0.31204	1.1137	-0.00403	-0.10011	-0.77845	-1.66063	-1.12874	-0.28224	-0.87515	-0.78646	0.52347	0.12995	-0.12178	-0.44614	0.31807	0.75879	2.04626	0.17188	0
-0.20309	0.06763	0.75554	-0.90558	0.36294	-0.7647	-0.98315	-0.452	-0.77082	-0.56067	0.19744	0.59928	1.70205	1.13707	0.99186	2.54572	0.84731	1.73369	1.452	0.8533	-0.11897	2
0.1236	0.02966	0.9744	2.21757	0.50594	0.47001	0.72835	0.16653	-0.30187	-0.26684	-0.26448	-0.53133	0.24891	-1.34573	-0.22175	0.552	0.80539	-0.55253	0.57505	0.79781	-0.00865	0
-0.62877	-0.10321	-0.4987	0.5712	0.38081	-0.18593	0.28187	0.01762	1.00279	-0.14931	1.57133	0.30837	0.26707	-1.06734	-0.84094	0.07704	-1.5839	-0.83565	-0.37708	-1.38467	0.78368	1
0.45029	0.82689	-0.01889	0.04126	1.88234	1.35746	1.20956	-0.06256	0.93665	0.51017	-0.82706	-1.10656	-1.01049	-1.02757	-1.03908	-0.1273	0.35628	0.85601	0.70033	0.91803	0.11171	0
-0.03479	0.5042	0.25048	-1.25181	-0.53679	0.03456	0.14297	-0.40046	-0.13352	-1.22015	-0.41252	-0.82886	-0.85306	0.27349	0.05564	0.18197	-0.22458	0.3747	1.452	0.26144	-1.43283	0
-0.69807	-1.50784	2.22023	0.88211	1.9598	0.3708	1.43776	-0.40046	-0.45818	-1.05038	-0.37107	-0.21397	-0.79857	-0.09581	-1.19264	0.23168	-0.17068	-0.02167	-0.45224	0.10422	-1.65348	0
0.66809	-0.5208	-1.60142	-0.89851	-0.13757	-0.84187	0.31164	-0.67536	-0.73475	-1.90575	-1.55546	0.31498	-0.2052	0.17122	0.61044	0.80605	-0.00301	0.10573	1.19309	0.25219	0.14179	0
-1.56925	1.66207	0.59561	0.81145	1.63804	1.05981	1.03097	0.97979	1.35751	-1.16791	-0.9988	-0.80242	-1.30112	-0.43101	-1.32639	-0.53046	-0.2126	-0.31895	0.3746	-0.05299	-0.16912	0
-0.77727	-0.68214	-0.86066	-1.40726	-0.56062	-0.15285	-0.61604	0.51016	0.16108	1.97931	2.27012	1.39931	1.5083	-0.13558	0.29341	-1.33127	-1.41024	-0.2057	-0.63599	-0.2102	0.43265	2
0.2523	-0.46386	-0.5492	0.6136	-0.39379	-0.00403	0.10328	-0.20574	1.33947	0.0074	0.90215	-0.51811	-1.17397	-1.2321	-0.05829	-0.3703	-0.63178	-0.12785	0.39966	1.36193	0.34238	1
0.3711	0.2954	1.81618	0.52881	0.75619	0.98815	0.99624	1.23751	1.33346	0.72565	-0.7027	-0.54456	-0.65325	-0.26057	-0.05333	-0.86183	-1.09287	-0.89228	-0.2518	-0.96852	0.76362	0
-0.02489	-0.98585	0.2589	0.55707	0.66086	0.91098	1.34846	1.2776	1.0088	0.45794	-0.19341	-1.27847	-1.18608	-2.30021	-1.35611	-1.05513	-0.60782	-0.85689	-2.08087	-1.70835	1.14474	1
1.63826	-0.34048	-1.09636	-0.70067	-0.8943	-1.11747	-0.37792	1.19169	1.5018	0.06616	1.63647	1.37948	0.88466	-0.02195	0.33304	-0.24328	0.03292	-1.54346	-0.01794	0.02099	-0.54021	1
0.81658	-0.0083	0.15788	0.26737	1.10774	1.06532	0.6837	-0.1141	0.39555	0.30123	-0.12235	-2.5876	0.01277	-0.51624	-0.67748	-0.14939	-0.2126	-0.02875	0.3913	-0.39516	-1.2523	0
0.04441	-0.75807	1.2101	0.67013	-1.07305	-0.34027	-1.51396	-1.79216	-0.81291	-0.29949	-0.28816	0.12323	-0.09016	1.44387	1.71507	1.4743	1.2066	1.56381	1.6441	0.77007	0.79371	2
-0.41098	1.08314	0.9744	1.65936	0.5834	-0.2631	0.6589	1.32342	0.44966	1.34595	0.81924	-1.27185	-0.88939	-0.27193	-0.66757	0.02181	-1.81744	0.44548	-0.76962	-1.40317	-0.02871	1
0.53939	1.37735	0.57877	1.60283	0.70257	0.97713	0.99128	1.47805	0.7623	-0.14931	-0.35923	-0.57762	-0.82279	-0.81167	-0.0781	-0.14387	-0.67968	-0.28356	-0.78632	0.03949	-0.41985	1
0.50969	-0.04626	-1.41623	1.17888	1.38183	0.71806	0.62417	0.96833	1.598	1.16965	-0.32962	-1.15284	-0.95599	0.09168	-1.40564	-1.80623	-0.74555	-1.18248	0.23262	-2.24472	-0.50009	1
-0.15359	0.59911	0.62086	1.07289	1.34608	0.98815	1.75029	1.39214	-0.41009	-0.12972	-0.3237	-1.04705	-1.33139	-1.95932	-0.54869	-0.60226	0.10477	-0.02167	-0.0597	-0.30268	0.52291	0
1.30167	0.37133	-1.28996	-1.56978	-0.56658	-0.57729	-0.97819	-1.46571	-1.60051	-0.55414	-0.10458	-0.87515	0.32156	0.06895	1.35346	2.02658	-0.12877	1.34439	0.29943	3.96981	-0.88121	2
-1.27226	0.0961	-0.33034	-0.91264	0.6549	-1.54742	-0.85913	-1.23662	-0.49426	-0.95244	-1.21791	0.7778	-0.12649	0.06327	1.40795	0.70664	0.99702	0.28268	1.44365	1.55613	-0.61041	0
-0.28228	-0.42589	-0.71756	-0.18485	-1.22201	-0.37334	-1.10717	-1.55162	-0.66861	-0.23419	-0.6494	-0.35281	0.38211	0.67119	2.21538	0.93307	1.26649	0.11989	0.57505	0.31692	1.94709	2
0.49979	1.72851	0.1663	0.57827	-0.82279	0.8724	1.17483	-0.07974	0.5639	1.29371	1.35222	-0.03545	-0.93783	-0.10149	-0.72701	-1.03856	-1.00903	-4.40256E-4	-0.41048	-1.26445	1.14474	1
0.64829	0.46624	0.51985	-1.11756	0.0531	-0.91904	0.19754	0.99124	1.47775	0.43835	1.25747	-0.2338	1.53858	1.10298	-0.16231	-1.27052	-0.00301	0.82062	1.25991	-0.28419	-0.20924	1
-0.56938	0.25744	-0.05256	-0.3615	-1.30543	-1.3104	-0.91866	0.26962	0.07089	1.47001	0.71265	1.63734	1.32666	0.28485	-0.25147	-0.06655	0.15268	-0.13492	-0.36037	1.20471	-1.06174	2
1.13337	0.77943	-1.34047	-0.7148	-0.26866	-0.75367	-1.70744	-0.36037	-1.20971	0.59506	0.93768	1.0026	1.16923	0.06895	0.26369	0.45259	0.0389	1.64167	-0.41884	0.67759	-0.7408	2
-1.35145	0.04864	-1.1637	0.35923	1.62017	1.44015	1.77014	0.20089	0.57592	0.35999	0.39878	-1.53633	-0.84095	-1.03325	-0.69234	-1.49143	0.31436	-0.34019	-1.07864	1.42666	-0.34965	0
-0.40108	-0.79603	-0.22933	-0.39683	-1.0373	-2.02697	-1.30064	-0.1141	-0.13954	-0.46273	0.39286	0.62573	-0.22337	0.27917	0.74914	0.52439	-0.78747	-0.35434	-0.81973	2.24972	0.47277	2
