1	2	3	4	5	6	7	8	9	10	11	12	13	C
1.51434	-0.56067	0.2314	-1.1663	1.90852	0.80672	1.03191	-0.65771	1.22144	0.25101	0.36116	1.84272	1.01016	0
0.2456	-0.49801	-0.82567	-2.48384	0.01809	0.56705	0.73157	-0.81841	-0.54319	-0.2925	0.40491	1.11032	0.96253	0
0.19633	0.02117	1.10621	-0.26798	0.08811	0.80672	1.21211	-0.49701	2.12996	0.26826	0.31741	0.78637	1.39122	0
1.68679	-0.34584	0.48655	-0.80697	0.9283	2.48444	1.4624	-0.97911	1.02925	1.18273	-0.42634	1.18074	2.32801	0
0.29487	0.22705	1.83523	0.45067	1.27838	0.80672	0.66149	0.22616	0.40028	-0.31838	0.36116	0.44834	-0.03777	0
1.47739	-0.51591	0.3043	-1.28608	0.85828	1.5577	1.36229	-0.1756	0.66235	0.72981	0.40491	0.33566	2.23274	0
1.71143	-0.41745	0.3043	-1.46574	-0.26197	0.32737	0.49129	-0.49701	0.67982	0.08278	0.27366	1.36384	1.72465	0
1.30494	-0.16681	0.88751	-0.56742	1.48843	0.48716	0.48128	-0.41665	-0.5956	-0.00349	0.44866	1.36384	1.74053	0
2.25341	-0.62333	-0.71632	-1.64541	-0.19195	0.80672	0.95182	-0.57736	0.67982	0.06121	0.53616	0.33566	0.94665	0
1.05858	-0.88292	-0.35181	-1.04653	-0.12194	1.09433	1.12201	-1.13982	0.45269	0.93255	0.22991	1.32159	0.94665	0
1.35421	-0.15786	-0.24246	-0.44765	0.36817	1.0464	1.29221	-1.13982	1.37868	0.29846	1.27991	0.78637	2.42327	0
1.37884	-0.76655	-0.16956	-0.80697	-0.33199	-0.15197	0.40119	-0.81841	-0.03651	-0.02506	0.92991	0.2934	1.6929	0
0.92308	-0.54277	0.1585	-1.04653	-0.75208	0.48716	0.73157	-0.57736	0.3828	0.23375	0.84241	0.40608	1.81992	0
2.15487	-0.54277	0.0856	-2.42395	-0.61205	1.28607	1.66263	0.54756	2.12996	0.14748	1.27991	0.16664	1.28008	0
1.69911	-0.41745	0.04915	-2.24429	0.15813	1.60563	1.61257	-0.57736	2.39203	1.05333	1.06116	0.54693	2.54077	0
0.77527	-0.47115	1.21557	-0.6872	0.85828	0.88661	0.88174	-0.49701	-0.2287	0.96706	1.41116	0.37791	1.78817	0
1.60057	-0.37269	1.28847	0.15123	1.41841	0.80672	1.112	-0.25595	0.66235	0.49257	0.49241	0.05396	1.6929	0
